Date first added,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK,Founded
2007-01-10,AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",915912,1978
1987-12-31,AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",8818,1990
2017-07-07,BKR,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1701605,2017
1984-10-31,BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",9389,1880
1976-06-30,BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",70858,1998 (1923 / 1874)
1983-09-30,BBWI,Bath & Body Works,reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",701985,1963
1972-09-30,BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",10456,1931
1972-09-30,BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",10795,1897
2010-02-16,BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1067983,1839
1999-06-29,BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",764478,1966
2020-06-22,BIO,Bio-Rad Laboratories,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",12208,1952
2021-08-30,TECH,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",842023,1976
2003-11-13,BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",875045,1978
2011-04-04,BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",1364742,1988
1995-03-31,BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",1390777,1784
1957-03-04,BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",12927,1916
2009-11-06,BKNG,Booking Holdings,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",1075531,1996
